doc,word,,Term Frequency Matrix,,,,,,,,,,,,,Top 20 words,
Doc1,freeman,,Words dictionary,Collection Frequency,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc9,Doc10,Doc11,,Words,Frequency
Doc2,hmwk,,spell,1,0,1,0,0,0,0,0,0,0,0,,crawl,1
Doc2,due,,spring,19,4,2,1,0,1,0,0,3,4,4,,hmwk4,1
Doc2,apr,,statu,1,0,1,0,0,0,0,0,0,0,0,,courag,1
Doc2,apr,,stem,4,0,0,0,0,0,4,0,0,0,0,,tianqi,1
Doc2,relev,,stemmer,3,0,1,0,0,0,2,0,0,0,0,,server_protocol,1
Doc2,feedback,,stop,1,0,0,0,0,0,1,0,0,0,0,,think,1
Doc2,queri,,strength,2,0,0,0,0,0,2,0,0,0,0,,common,1
Doc2,expans,,string,2,0,0,0,0,0,0,2,0,0,0,,highlight,1
Doc2,hmwk,,student,3,0,1,0,0,2,0,0,0,0,0,,search,1
Doc2,assign,,syllabu,10,2,0,2,0,0,0,0,2,2,2,,henkel,1
Doc2,project,,system,1,0,0,1,0,0,0,0,0,0,0,,chri,1
Doc2,assign,,t/th,3,1,0,0,0,0,0,0,0,1,1,,henk,1
Doc2,apr,,taught,1,0,0,0,0,0,1,0,0,0,0,,overview,1
Doc2,apr,,tell,1,0,0,0,0,0,1,0,0,0,0,,xu,1
Doc2,text,,temptat,2,0,0,0,0,0,2,0,0,0,0,,carrot2,1
Doc2,classif,,tent,1,0,0,0,0,0,0,0,1,0,0,,tuesday,1
Doc2,apr,,term,1,0,1,0,0,0,0,0,0,0,0,,queri,1
Doc2,apr,,terribl,1,0,0,0,0,0,1,0,0,0,0,,march,1
Doc2,document,,text,1,0,1,0,0,0,0,0,0,0,0,,brief,1
Doc2,cluster,,"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8",1,0,0,0,1,0,0,0,0,0,0,,realli,1
Doc2,hmwk,,thi,13,2,1,2,1,0,1,0,2,2,2,,boolean,1
Doc2,due,,think,1,0,0,0,0,0,1,0,0,0,0,,free,1
Doc2,hmwk,,tianqi,1,0,0,0,0,1,0,0,0,0,0,,bad,1
Doc2,assign,,topic,2,0,1,0,0,0,1,0,0,0,0,,stop,1
Doc2,apr,,tuesday/thursday,1,0,0,0,0,0,0,0,1,0,0,,oscar,1
Doc2,apr,,u,4,1,0,1,0,0,0,0,0,1,1,,zhou,1
Doc2,link,,uniqu,1,0,0,0,1,0,0,0,0,0,0,,alon,1
Doc2,analysi,,univers,6,1,1,1,0,0,0,0,1,1,1,,weak,1
Doc2,may,,updat,1,0,0,0,1,0,0,0,0,0,0,,alejandro,1
Doc2,may,,user,1,0,1,0,0,0,0,0,0,0,0,,fmoore@lyle.smu.,1
Doc2,vector,,user-ag,2,0,0,0,2,0,0,0,0,0,0,,advertis,1
Doc2,space,,vector,1,0,1,0,0,0,0,0,0,0,0,,find,1
Doc2,classif,,vs,1,0,0,0,0,1,0,0,0,0,0,,"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8",1
Doc2,hmwk,,weak,1,0,0,0,0,0,1,0,0,0,0,,file,1
Doc2,due,,web,7,1,2,1,0,0,0,0,1,1,1,,requir,1
Doc2,may,,wild,1,0,0,0,0,0,1,0,0,0,0,,figur,1
Doc2,class,,wildcard,1,0,1,0,0,0,0,0,0,0,0,,request,1
Doc2,read,,word,1,0,0,0,0,0,1,0,0,0,0,,field,1
Doc2,day,,wordlist,1,0,1,0,0,0,0,0,0,0,0,,feedback,1
Doc2,project,,xu,1,0,0,0,0,1,0,0,0,0,0,,relev,1
Doc2,due,,yield,2,0,0,0,0,0,2,0,0,0,0,,get,1
Doc2,may,,zhou,1,0,0,0,0,1,0,0,0,0,0,,relat,1
Doc2,exam,,zou,1,0,0,0,0,1,0,0,0,0,0,,frequenc,1
Doc2,ii,,Grand Total,584,,,,,,,,,,,,Grand Total,584
Doc2,tuesday,,,,,,,,,,,,,,,,
Doc2,may,,,,,,,,,,,,,,,,
Doc2,per,,,,,,,,,,,,,,,,
Doc2,univers,,,,,,,,,,,,,,,,
Doc2,schedul,,,,,,,,,,,,,,,,
Doc2,exam,,,,,,,,,,,,,,,,
Doc2,ii,,,,,,,,,,,,,,,,
Doc3,freeman,,,,,,,,,,,,,,,,
Doc3,moor,,,,,,,,,,,,,,,,
Doc3,smu,,,,,,,,,,,,,,,,
Doc3,fall,,,,,,,,,,,,,,,,
Doc3,fall,,,,,,,,,,,,,,,,
Doc3,freeman,,,,,,,,,,,,,,,,
Doc3,l,,,,,,,,,,,,,,,,
Doc3,moor,,,,,,,,,,,,,,,,
Doc3,phd,,,,,,,,,,,,,,,,
Doc3,email,,,,,,,,,,,,,,,,
Doc3,fmoore@lyle.smu.,,,,,,,,,,,,,,,,
Doc3,u,,,,,,,,,,,,,,,,
Doc3,fall,,,,,,,,,,,,,,,,
Doc3,cse,,,,,,,,,,,,,,,,
Doc3,spring,,,,,,,,,,,,,,,,
Doc3,cse,,,,,,,,,,,,,,,,
Doc3,keep,,,,,,,,,,,,,,,,
Doc3,look,,,,,,,,,,,,,,,,
Doc3,cours,,,,,,,,,,,,,,,,
Doc3,calendar,,,,,,,,,,,,,,,,
Doc3,latest,,,,,,,,,,,,,,,,
Doc3,inform,,,,,,,,,,,,,,,,
Doc3,fall,,,,,,,,,,,,,,,,
Doc3,m/w,,,,,,,,,,,,,,,,
Doc3,caruth,,,,,,,,,,,,,,,,
Doc3,syllabu,,,,,,,,,,,,,,,,
Doc3,syllabu,,,,,,,,,,,,,,,,
Doc3,brief,,,,,,,,,,,,,,,,
Doc3,histori,,,,,,,,,,,,,,,,
Doc3,databas,,,,,,,,,,,,,,,,
Doc3,system,,,,,,,,,,,,,,,,
Doc3,articl,,,,,,,,,,,,,,,,
Doc3,highlight,,,,,,,,,,,,,,,,
Doc3,histori,,,,,,,,,,,,,,,,
Doc3,oracl,,,,,,,,,,,,,,,,
Doc3,content,,,,,,,,,,,,,,,,
Doc3,thi,,,,,,,,,,,,,,,,
Doc3,web,,,,,,,,,,,,,,,,
Doc3,site,,,,,,,,,,,,,,,,
Doc3,sole,,,,,,,,,,,,,,,,
Doc3,respons,,,,,,,,,,,,,,,,
Doc3,dr,,,,,,,,,,,,,,,,
Doc3,freeman,,,,,,,,,,,,,,,,
Doc3,moor,,,,,,,,,,,,,,,,
Doc3,necessarili,,,,,,,,,,,,,,,,
Doc3,repres,,,,,,,,,,,,,,,,
Doc3,opinion,,,,,,,,,,,,,,,,
Doc3,polici,,,,,,,,,,,,,,,,
Doc3,southern,,,,,,,,,,,,,,,,
Doc3,methodist,,,,,,,,,,,,,,,,
Doc3,univers,,,,,,,,,,,,,,,,
Doc3,administr,,,,,,,,,,,,,,,,
Doc3,thi,,,,,,,,,,,,,,,,
Doc3,site,,,,,,,,,,,,,,,,
Doc3,dr,,,,,,,,,,,,,,,,
Doc3,freeman,,,,,,,,,,,,,,,,
Doc3,moor,,,,,,,,,,,,,,,,
Doc3,may,,,,,,,,,,,,,,,,
Doc3,contact,,,,,,,,,,,,,,,,
Doc3,fmoore@lyle.smu.edu,,,,,,,,,,,,,,,,
Doc4,cse,,,,,,,,,,,,,,,,
Doc4,user-ag,,,,,,,,,,,,,,,,
Doc4,thi,,,,,,,,,,,,,,,,
Doc4,user-ag,,,,,,,,,,,,,,,,
Doc4,inform,,,,,,,,,,,,,,,,
Doc4,receiv,,,,,,,,,,,,,,,,
Doc4,crawler,,,,,,,,,,,,,,,,
Doc4,defin,,,,,,,,,,,,,,,,
Doc4,uniqu,,,,,,,,,,,,,,,,
Doc4,name,,,,,,,,,,,,,,,,
Doc4,http_accept,,,,,,,,,,,,,,,,
Doc4,"text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8",,,,,,,,,,,,,,,,
Doc4,http_client_ip,,,,,,,,,,,,,,,,
Doc4,server_protocol,,,,,,,,,,,,,,,,
Doc4,http/1.1,,,,,,,,,,,,,,,,
Doc4,request_method,,,,,,,,,,,,,,,,
Doc4,get,,,,,,,,,,,,,,,,
Doc4,file,,,,,,,,,,,,,,,,
Doc4,last,,,,,,,,,,,,,,,,
Doc4,updat,,,,,,,,,,,,,,,,
Doc4,march,,,,,,,,,,,,,,,,
Doc5,cse,,,,,,,,,,,,,,,,
Doc5,spring,,,,,,,,,,,,,,,,
Doc5,distanc,,,,,,,,,,,,,,,,
Doc5,student,,,,,,,,,,,,,,,,
Doc5,exam,,,,,,,,,,,,,,,,
Doc5,locat,,,,,,,,,,,,,,,,
Doc5,cse,,,,,,,,,,,,,,,,
Doc5,distanc,,,,,,,,,,,,,,,,
Doc5,student,,,,,,,,,,,,,,,,
Doc5,exam,,,,,,,,,,,,,,,,
Doc5,locat,,,,,,,,,,,,,,,,
Doc5,vs,,,,,,,,,,,,,,,,
Doc5,proctor,,,,,,,,,,,,,,,,
Doc5,number,,,,,,,,,,,,,,,,
Doc5,person,,,,,,,,,,,,,,,,
Doc5,locat,,,,,,,,,,,,,,,,
Doc5,request,,,,,,,,,,,,,,,,
Doc5,date,,,,,,,,,,,,,,,,
Doc5,henk,,,,,,,,,,,,,,,,
Doc5,chri,,,,,,,,,,,,,,,,
Doc5,proctor,,,,,,,,,,,,,,,,
Doc5,henkel,,,,,,,,,,,,,,,,
Doc5,lopez,,,,,,,,,,,,,,,,
Doc5,alejandro,,,,,,,,,,,,,,,,
Doc5,proctor,,,,,,,,,,,,,,,,
Doc5,hua,,,,,,,,,,,,,,,,
Doc5,mengli,,,,,,,,,,,,,,,,
Doc5,proctor,,,,,,,,,,,,,,,,
Doc5,huang,,,,,,,,,,,,,,,,
Doc5,tianqi,,,,,,,,,,,,,,,,
Doc5,inclass,,,,,,,,,,,,,,,,
Doc5,pm,,,,,,,,,,,,,,,,
Doc5,liang,,,,,,,,,,,,,,,,
Doc5,proctor,,,,,,,,,,,,,,,,
Doc5,xu,,,,,,,,,,,,,,,,
Doc5,qizhi,,,,,,,,,,,,,,,,
Doc5,proctor,,,,,,,,,,,,,,,,
Doc5,zhou,,,,,,,,,,,,,,,,
Doc5,proctor,,,,,,,,,,,,,,,,
Doc5,zou,,,,,,,,,,,,,,,,
Doc5,diyang,,,,,,,,,,,,,,,,
Doc5,inclass,,,,,,,,,,,,,,,,
Doc5,pm,,,,,,,,,,,,,,,,
Doc6,porter,,,,,,,,,,,,,,,,
Doc6,stemmer,,,,,,,,,,,,,,,,
Doc6,onlin,,,,,,,,,,,,,,,,
Doc6,javascript,,,,,,,,,,,,,,,,
Doc6,porter,,,,,,,,,,,,,,,,
Doc6,stemmer,,,,,,,,,,,,,,,,
Doc6,onlin,,,,,,,,,,,,,,,,
Doc6,find,,,,,,,,,,,,,,,,
Doc6,porter,,,,,,,,,,,,,,,,
Doc6,stem,,,,,,,,,,,,,,,,
Doc6,algorithm,,,,,,,,,,,,,,,,
Doc6,offici,,,,,,,,,,,,,,,,
Doc6,site,,,,,,,,,,,,,,,,
Doc6,exampl,,,,,,,,,,,,,,,,
Doc6,realli,,,,,,,,,,,,,,,,
Doc6,think,,,,,,,,,,,,,,,,
Doc6,weak,,,,,,,,,,,,,,,,
Doc6,yield,,,,,,,,,,,,,,,,
Doc6,temptat,,,,,,,,,,,,,,,,
Doc6,tell,,,,,,,,,,,,,,,,
Doc6,terribl,,,,,,,,,,,,,,,,
Doc6,temptat,,,,,,,,,,,,,,,,
Doc6,requir,,,,,,,,,,,,,,,,
Doc6,strength,,,,,,,,,,,,,,,,
Doc6,strength,,,,,,,,,,,,,,,,
Doc6,courag,,,,,,,,,,,,,,,,
Doc6,yield,,,,,,,,,,,,,,,,
Doc6,oscar,,,,,,,,,,,,,,,,
Doc6,wild,,,,,,,,,,,,,,,,
Doc6,stem,,,,,,,,,,,,,,,,
Doc6,abov,,,,,,,,,,,,,,,,
Doc6,content,,,,,,,,,,,,,,,,
Doc6,overlay,,,,,,,,,,,,,,,,
Doc6,overlay,,,,,,,,,,,,,,,,
Doc6,output,,,,,,,,,,,,,,,,
Doc6,goe,,,,,,,,,,,,,,,,
Doc6,stem,,,,,,,,,,,,,,,,
Doc6,stem,,,,,,,,,,,,,,,,
Doc6,output,,,,,,,,,,,,,,,,
Doc6,alon,,,,,,,,,,,,,,,,
Doc6,goe,,,,,,,,,,,,,,,,
Doc6,common,,,,,,,,,,,,,,,,
Doc6,topic,,,,,,,,,,,,,,,,
Doc6,taught,,,,,,,,,,,,,,,,
Doc6,document,,,,,,,,,,,,,,,,
Doc6,classif,,,,,,,,,,,,,,,,
Doc6,includ,,,,,,,,,,,,,,,,
Doc6,stop,,,,,,,,,,,,,,,,
Doc6,word,,,,,,,,,,,,,,,,
Doc6,invers,,,,,,,,,,,,,,,,
Doc6,document,,,,,,,,,,,,,,,,
Doc6,frequenc,,,,,,,,,,,,,,,,
Doc6,free,,,,,,,,,,,,,,,,
Doc6,softwar,,,,,,,,,,,,,,,,
Doc6,relat,,,,,,,,,,,,,,,,
Doc6,thi,,,,,,,,,,,,,,,,
Doc6,field,,,,,,,,,,,,,,,,
Doc6,lucen,,,,,,,,,,,,,,,,
Doc6,carrot2,,,,,,,,,,,,,,,,
Doc6,refer,,,,,,,,,,,,,,,,
